"beginTime";"peakTime";"endTime";"classType";"classTypeNumber";"sourceLocation";"lat";"lon";"farestStartDate";"farestEndDate"
"2010-04-03T09:04Z";"2010-04-03T09:54Z";"2010-04-03T10:58Z";"B7.4";17,4;"S25W03";"-25";"-03";"2010-01-01T00:00Z";"2017-04-27T00:00Z"
"2010-06-12T00:30Z";"2010-06-12T00:57Z";"2010-06-12T01:02Z";"M2.0";32;"N22W43";"+22";"-43";NA;NA
"2010-08-07T17:55Z";"2010-08-07T18:24Z";"2010-08-07T18:47Z";"M1.0";31;"N14E37";"+14";"+37";NA;NA
"2010-08-14T09:38Z";"2010-08-14T10:05Z";"2010-08-14T10:31Z";"C4.4";24,4;"N11W65";"+11";"-65";NA;NA
"2010-08-18T04:45Z";"2010-08-18T05:48Z";"2010-08-18T06:51Z";"C4.5";24,5;"N18W88";"+18";"-88";NA;NA
"2010-10-16T19:07Z";"2010-10-16T19:12Z";"2010-10-16T19:15Z";"M2.9";32,9;"S20W26";"-20";"-26";NA;NA
"2011-01-28T00:44Z";"2011-01-28T01:03Z";"2011-01-28T01:10Z";"M1.3";31,3;"N17W88";"+17";"-88";NA;NA
"2011-02-09T01:23Z";"2011-02-09T01:31Z";"2011-02-09T01:35Z";"M1.9";31,9;"N16W70";"+16";"-70";NA;NA
"2011-02-13T17:28Z";"2011-02-13T17:38Z";"2011-02-13T17:47Z";"M6.6";36,6;"S20E04";"-20";"+04";NA;NA
"2011-02-14T17:20Z";"2011-02-14T17:26Z";"2011-02-14T17:32Z";"M2.2";32,2;"S20W04";"-20";"-04";NA;NA
"2011-02-15T01:44Z";"2011-02-15T01:56Z";"2011-02-15T02:06Z";"X2.2";42,2;"S20W10";"-20";"-10";NA;NA
"2011-02-16T01:32Z";"2011-02-16T01:39Z";"2011-02-16T01:46Z";"M1.0";31;"S21W28";"-21";"-28";NA;NA
"2011-02-18T09:55Z";"2011-02-18T10:11Z";"2011-02-18T10:15Z";"M6.6";36,6;"S20W63";"-20";"-63";NA;NA
"2011-02-24T07:23Z";"2011-02-24T07:35Z";"2011-02-24T07:42Z";"M3.5";33,5;"N14E87";"+14";"+87";NA;NA
"2011-02-28T12:38Z";"2011-02-28T12:52Z";"2011-02-28T13:03Z";"M1.1";31,1;"N28E39";"+28";"+39";NA;NA
"2011-03-07T13:44Z";"2011-03-07T14:30Z";"2011-03-07T15:08Z";"M2.0";32;"N11E21";"+11";"+21";NA;NA
"2011-03-07T19:43Z";"2011-03-07T20:12Z";"2011-03-07T21:40Z";"M3.7";33,7;"N30W48";"+30";"-48";NA;NA
"2011-03-08T02:24Z";"2011-03-08T02:29Z";"2011-03-08T02:32Z";"M1.3";31,3;"S18W80";"-18";"-80";NA;NA
"2011-03-08T03:37Z";"2011-03-08T03:58Z";"2011-03-08T04:20Z";"M1.5";31,5;"S21E72";"-21";"+72";NA;NA
