ShockDate;CmeC21_5;FlareStartDate;Comment
2013-01-17T16:00Z;2013-01-13T19:18Z;;
2013-01-18T12:37Z;;;
2013-02-13T17:00Z;;;
2013-02-16T12:09Z;;;
2013-03-17T05:59Z;2013-03-15T09:03Z;2013-03-15T05:51Z;Flare_M1.2
2013-03-20T17:00Z;;;
2013-04-13T22:12Z;2013-04-11T12:15Z;2013-04-11T06:55Z;Flare_M6.5
2013-04-30T09:49Z;;;
2013-05-01T09:00Z;;;
2013-05-18T00:23Z;2013-05-15T04:30Z;2013-05-15T01:25Z;Flare_X1.2
2013-05-19T22:20Z;2013-05-17T11:25Z;;
2013-05-24T17:35Z;2013-05-22T15:45Z;2013-05-22T12:30Z;M5.0
2013-05-25T20:00Z;2013-05-22T14:47Z;;
2013-06-06T02:55Z;;;
2013-06-08T06:00Z;;;
2013-06-2T14:38Z;;;
2013-07-05T01:00Z;2013-07-02T01:25Z;;
2013-07-09T19:56Z;;;
2013-07-12T17:14Z;2013-07-09T20:34Z;;
2013-08-20T22:27Z;;;
2013-08-22T19:26Z;2013-08-20T12:24Z;;
2013-08-24T00:03Z;2013-08-21T10:14Z;;
2013-10-02T01:54Z;2013-09-30T01:00Z;;
2013-10-08T20:20Z;2013-10-06T18:19Z;;
2013-10-29T07:00Z;;;
2013-11-07T00:00Z;;;
2013-11-08T22:00Z;;;
2013-11-11T17:00Z;2013-11-07T22:02Z;;
2013-11-23T01:00Z;2013-11-19T14:34Z;2013-11-19T10:14Z;Flare_X1.0
2013-11-30T20:00Z;;;
2013-12-01T13:00Z;2013-11-27T18:04Z;;
2013-12-08T00:00Z;2013-12-05T05:16Z;;
2013-12-15T13:00Z;2013-12-12T06:43Z;;
2013-12-24T21:00Z;;;
2013-12-30T09:00Z;;;
2014-01-01T10:10Z;2013-12-29T10:20Z;;HSS presented with date 2014-01-01T14:00Z
2014-01-07T14:26Z;2014-01-04T23:40Z;2014-01-04T18:47Z;Flare_M4.0
2014-01-09T19:32Z;2014-01-07T19:48Z;2014-01-07T18:02Z;Flare_X1.2
2014-01-16T20:00Z;2014-01-14T14:43Z;;
2014-02-02T23:18Z;2014-01-30T19:29Z;2014-01-30T15:48Z;Flare_M6.6
2014-02-05T14:00Z;;;
2014-02-07T16:16Z;2014-02-04T07:00Z;;
2014-02-09T11:27Z;;;
2014-02-10T16:00Z;2014-02-08T02:07Z;;
2014-02-13T08:50Z;;;
2014-02-15T12:35Z;2014-02-11T15:08Z;2014-02-11T03:22Z;Flare_M1.7
2014-02-17T03:00Z;;;
2014-02-18T05:00Z;2014-02-16T21:22Z;;
2014-02-19T03:10Z;2014-02-16T21:22Z;;
2014-02-20T02:50Z;2014-02-18T05:29Z;;
2014-02-23T06:00Z;2014-02-19T20:18Z;;
2014-02-27T16:10Z;2014-02-25T02:51Z;2014-02-25T00:41Z;Flare_X4.9
2014-03-08T05:00Z;;;
2014-03-25T19:25Z;2014-03-23T08:40Z;;
2014-03-26T22:15Z;;;
2014-04-05T09:40Z;2014-04-02T15:51Z;2014-04-02T13:18Z;Flare_M6.5
2014-04-11T06:00Z;;;
2014-04-16T19:15Z;;;
2014-04-18T19:00Z;;;
2014-04-19T17:00Z;;;
2014-04-20T10:22Z;2014-04-18T15:22Z;2014-04-18T12:31Z;Flare_M7.3
2014-04-29T19:41Z;;;
2014-05-03T16:46Z;;;
2014-05-07T21:35Z;2014-05-03T12:47Z;;
2014-05-23T03:24Z;;;
2014-05-27T18:40Z;2014-05-25T10:55Z;;
2014-06-07T16:09Z;2014-06-04T23:26Z;;
2014-06-18T17:00Z;2014-06-15T05:32Z;;
2014-06-23T22:00Z;2014-06-19T23:57Z;;
2014-06-29T18:00Z;2014-06-25T23:39Z;;
2014-07-0T23:28Z;2014-06-30T11:36Z;;
2014-07-06T09:41Z;2014-07-02T19:45Z;;
2014-07-14T13:29Z;2014-07-11T14:27Z;;
2014-08-19T05:57Z;2014-08-16T01:36Z;;
2014-08-27T00:00Z;2014-08-22T19:30Z;;
2014-09-06T04:33Z;2014-09-02T23:10Z;;
2014-09-11T22:56Z;2014-09-09T04:16Z;2014-09-08T23:12Z;Flare_M4.6
2014-09-12T15:26Z;2014-09-10T20:00Z;2014-09-10T17:21Z;Flare_X1.6
2014-09-19T06:53Z;;;HSS presented with date 2014-09-19T00:00Z
2014-11-03T22:27Z;2014-11-01T07:05Z;;
2014-11-10T01:37Z;2014-11-07T22:02Z;2014-11-07T16:53Z;Flare_X1.6
2014-11-14T00:00Z;2014-11-09T11:19Z;;
2014-12-21T04:13Z;2014-12-17T08:39Z;2014-12-17T04:25Z;Flare_M8.7
2014-12-21T18:22Z;2014-12-19T01:12Z;2014-12-18T21:41Z;Flare_M6.9
2014-12-22T14:28Z;2014-12-20T04:09Z;2014-12-20T00:11Z;Flare_X1.8
2014-12-23T10:33Z;;;
2015-01-07T05:24Z;2015-01-02T23:55Z;;
2015-01-15T22:39Z;2015-01-12T18:39Z;;
2015-03-17T04:05Z;2015-03-15T04:40Z;2015-03-15T01:15Z;Flare_C9.1
2015-03-21T20:25Z;;;
2015-03-31T07:40Z;;;
2015-04-09T01:10Z;2015-04-05T02:45Z;;
2015-04-09T09:12Z;2015-04-06T23:03Z;;
2015-05-06T00:50Z;2015-05-03T08:50Z;;
2015-05-10T00:02Z;2015-05-06T23:26Z;;
2015-05-17T04:00Z;2015-05-14T03:55Z;2015-05-13T18:09Z;Flare_C9.2
2015-06-12T12:19Z;2015-06-10T00:05Z;2015-06-09T19:55Z;Flare_C2.8
2015-06-21T15:40Z;2015-06-18T20:00Z;2015-06-18T16:33Z;Flare_M3.0
2015-06-22T04:51Z;2015-06-19T14:59Z;;
2015-06-22T17:59Z;2015-06-21T05:01Z;2015-06-21T01:02Z;Flare_M2.0
2015-06-24T12:57Z;2015-06-22T21:10Z;2015-06-22T17:39Z;Flare_M6.5
2015-06-27T03:30Z;2015-06-25T10:51Z;2015-06-25T08:02Z;Flare_M7.9
2015-07-04T11:58Z;;;HSS presented with date 2015-07-04T11:59Z
2015-08-15T07:43Z;2015-08-12T21:22Z;;
2015-09-07T13:20Z;;;HSS presented with date 2015-09-07T12:22Z 
2015-09-20T05:33Z;2015-09-18T09:37Z;;
2015-10-24T18:26Z;2015-10-22T07:09Z;2015-10-22T02:13Z;Flare_C4.4
2015-11-06T17:34Z;2015-11-04T19:30Z;2015-11-04T13:30Z;Flare_M3.7
2015-11-12T12:00Z;2015-11-09T18:26Z;;
2015-11-18T19:24Z;2015-11-16T06:45Z;;
2015-12-14T12:30Z;2015-12-09T05:14Z;;
2015-12-19T15:27Z;2015-12-16T15:30Z;2015-12-16T08:34Z;Flare_C6.6
2015-12-31T00:02Z;2015-12-28T16:43Z;2015-12-28T11:20Z;Flare_M1.8
2016-01-18T21:00Z;2016-01-15T11:43Z;;
2016-01-21T00:48Z;;;
2016-02-11T15:54Z;2016-02-06T05:35Z;;
2016-02-15T05:15Z;2016-02-12T05:36Z;2016-02-11T20:18Z;Flare_C8.9
2016-03-06T04:30Z;;;HSS presented with date 2016-03-06T09:00Z 
2016-03-11T04:21Z;;;
2016-03-23T05:00Z;;;
2016-03-26T23:40Z;2016-03-23T11:26Z;;
2016-04-02T14:04Z;2016-03-31T08:18Z;;
2016-04-10T09:00Z;2016-04-06T23:36Z;;
